Step,AgentID,State,Health,Row,Col,Age,Risk,Strategy,FamilyID,EscapeStep,CellsTraversed,HazardCellsCrossed,StepsInSmoke,StepsInFire,CommsReceived,RescueCompleted,ExitChosen_r,ExitChosen_c
1,21,evacuating,100,7,14,75,0.7917203152241724,least_crowded_exit,3.0,-1,0,0,0,0,0,False,1,18
1,4,idle,100,14,4,61,0.6832606795678805,nearest_exit,,-1,0,0,0,0,0,False,-1,-1
1,12,idle,100,11,18,77,0.29984515830568037,nearest_exit,,-1,0,0,0,0,0,False,-1,-1
1,8,evacuating,100,8,14,33,0.7893380290822328,nearest_exit,,-1,0,0,0,0,0,False,14,18
2,6,evacuating,100,2,16,43,0.17873429692156712,safest_exit,0.0,-1,0,0,0,0,3,False,1,18
2,26,rescuing,100,1,3,79,0.43840598879213033,nearest_exit,3.0,-1,0,0,0,0,1,False,1,18
2,25,rescuing,100,10,9,36,0.7281034854352972,safest_exit,3.0,-1,1,0,0,0,3,False,14,1
2,16,evacuating,100,1,7,71,0.8994259747301813,nearest_exit,4.0,-1,0,0,0,0,1,False,1,18
2,27,rescuing,100,9,15,68,0.6844042539323728,least_crowded_exit,2.0,-1,1,0,0,0,3,False,14,1
2,15,rescuing,100,6,15,59,0.1783269825612803,safest_exit,4.0,-1,1,0,0,0,3,False,14,18
2,19,evacuating,100,10,1,44,0.28910359243339956,least_crowded_exit,,-1,0,0,0,0,1,False,14,1
2,13,evacuating,100,1,15,69,0.1603079106994315,least_crowded_exit,,-1,0,0,0,0,2,False,1,18
2,23,evacuating,100,3,1,42,0.10172430268114115,safest_exit,1.0,-1,0,0,0,0,1,False,14,1
2,18,rescuing,100,12,4,72,0.8410935864065021,least_crowded_exit,1.0,-1,1,0,0,0,3,False,14,1
2,29,evacuating,100,5,1,30,0.4893371293234636,nearest_exit,,-1,0,1,1,0,1,False,14,1
2,1,rescuing,100,2,12,60,0.1754606371935058,safest_exit,1.0,-1,1,0,0,0,2,False,1,18
